MR,x' U' L U R2 U' L' U R2 x,"x' U' [L, U R2 U'] U x"
MS,y D2 U U' R' D2 R U R' y',"y [D2, R U' R'] y'"
MT,R' U2 R U' R' D R U R' D' U2 R,"R' U2 [D, R U' R'] U2 R"
MX,y D2 R' D L2 D' R D L2 D y',"y D2 [R', D L2 D'] D2 y'"
MY,D U R U' R' D' R U R' U',"[D, U R U' R']"
MZ,l D2 R U R' D2 R U' l' R',"l [D2, R U R'] l'"
,,
P,Alg,C ABA'B' C'
PA,R' D2 R U' R' D2 R U,"[R' D2 R, U']"
PB,U2 R2 D2 R U2 R' D2 R U2 R U2,"U2 R' [R' D2 R, U2] R U2"
PC,x' D R U2 R' D' R U2 R' x,"x' [D, R U2 R'] x"
PD,U2 R' D2 R U2 R' D2 R,"[U2, R' D2 R]"
PE,z' R2 U' R' D2 R U R' D2 R' z,"z' R [R U' R', D2] R' z"
PF,x L' U2 L D L' U2 L D' x',"x [L' U2 L, D] x'"
PG,U R' D2 R U' R' D2 R,"[U, R' D2 R]"
PH,y R2 U L U' R2 U L' U' y',"y [R2, U L U'] y'"
PI,x U R2 U L' U' R2 U L U2 x',"x U2 [U' R2 U, L'] U2 x'"
PW,x' D2 R U2 R' D2 R U2 R' x,"x' [D2, R U2 R'] x"
PM,L U2 L' D' L U2 L' D,"[L U2 L', D']"
PN,x' U2 R U L2 U' R' U L2 U x,"x' U' [U' R U, L2] U x"
PR,U R D2 R U' R' D2 R U R2 U',"U R [D2, R U' R'] R' U'"
PS,L U2 L' D L U2 L' D',"[L U2 L', D]"
PT,x L' U2 L D' L' U2 L D x',"x [L' U2 L, D'] x'"
PX,U' R2 U' L U R2 U' L' U2,"U2 [L, U R2 U'] U2"
PY,L U2 L' D2 L U2 L' D2,"[L U2 L', D2]"
PZ,x' D' R U2 R' D R U2 R' x,"x' [D', R U2 R'] x"
,,
S,Alg,C ABA'B' C'
SA,U2 R D R' U R D' R' U,"U' [U', R D R'] U"
SB,L2 D L U2 L' D' L U2 L,"L' [L' D L, U2] L"
SC,y' R U' L U R' U' L' U y,"y' [R, U' L U] y"
SD,L' D L U2 L' D' L U2,"[L' D L, U2]"
SE,x' U2 L D' L' U2 L D L' x,"x' [U2, L D' L'] x"
SF,R' U R' D' R U R' D R U2 R,"R' U [R' D' R, U] U' R"
SG,R D R' U' R D' R' U,"[R D R', U']"
SH,U R2 U L U' R2 U L' U2,"U [R2, U L U'] U'"
SI,x'z R2 U' R D2 R' U R D2 R z'x,"x'z R2 [U', R D2 R'] R2 z'x "
SW,y' R2 U' L U R2 U' L' U y,"y' [R2, U' L U] y"
